cell_type,rank,gene_symbol,log2FC,p_val_adj
Bergmann Glia,40,NDRG2,1.5258691310882568,4.518820395463722e-134
Bergmann Glia,41,TSC22D4,1.516395092010498,3.995778726736421e-133
Bergmann Glia,42,ATP2A3,1.6656147241592407,1.6215619324435065e-132
Bergmann Glia,43,ATP1A2,1.4147679805755615,4.3350781345177796e-131
Bergmann Glia,44,SELENOW,1.0878711938858032,5.011907001292665e-131
Bergmann Glia,45,BAALC,1.4986588954925537,5.257831153907426e-130
Bergmann Glia,46,YWHAH,1.2051650285720825,1.0275899442376275e-129
Bergmann Glia,47,NEFH,1.868066668510437,1.4112561523558566e-129
Bergmann Glia,48,NSG1,1.4067250490188599,3.323610997114111e-129
Bergmann Glia,49,SPARC,1.5485405921936035,5.820655248618616e-129
Bergmann Glia,50,THY1,1.384913444519043,1.7837627110715297e-125
Granule Neurons,1,PKD1,2.374835968017578,0.0
Granule Neurons,2,MEG3,1.8734221458435059,0.0
Granule Neurons,3,LINC00599,1.9135006666183472,0.0
Granule Neurons,4,ACAP3,2.022421360015869,0.0
Granule Neurons,5,SLC22A31,2.4491631984710693,1.3488656531564655e-307
Granule Neurons,6,CACNA1A,1.9063012599945068,1.0614730532295172e-294
Granule Neurons,7,CAMKK2,1.5723949670791626,2.8263508632373497e-287
Granule Neurons,8,GOLGA8A,2.0371835231781006,2.988785970821042e-279
Granule Neurons,9,PDIA2,2.4453036785125732,2.655771747962437e-263
Granule Neurons,10,LUC7L3,1.8713010549545288,2.7885068133394373e-263
Granule Neurons,11,PPFIA4,2.300274610519409,1.88211144268563e-262
Granule Neurons,12,SNRNP70,1.8743737936019897,2.3135103550860487e-262
Granule Neurons,13,KIFC2,2.0850672721862793,2.3504195041089326e-246
Granule Neurons,14,SNAP25,0.6810633540153503,1.2516933608901215e-236
Granule Neurons,15,PCBP4,2.1455113887786865,2.0856116233958763e-234
Granule Neurons,16,MCF2L,1.5112537145614624,7.644550466777707e-225
Granule Neurons,17,TNFRSF25,1.8545478582382202,8.354558324869407e-223
Granule Neurons,18,XIST,1.8313767910003662,4.3379957822011467e-221
Granule Neurons,19,GRIN2C,1.749423861503601,4.582328947902969e-216
Granule Neurons,20,RAB26,2.2387611865997314,6.083330019265493e-215
Granule Neurons,21,GRM4,1.9526774883270264,5.319584201723174e-212
Granule Neurons,22,CCNL2,1.8434009552001953,2.2454694097759457e-204
Granule Neurons,23,TLE2,1.8661590814590454,2.020065145318609e-202
Granule Neurons,24,NPDC1,1.1895391941070557,3.372825533241526e-198
Granule Neurons,25,GOLGA8B,1.7599235773086548,1.838658475998989e-197
Granule Neurons,26,NISCH,1.441823124885559,1.836743945273383e-187
Granule Neurons,27,SHANK3,1.4801498651504517,3.612451666593408e-187
Granule Neurons,28,CIRBP,0.8306094408035278,1.1036302471820665e-179
Granule Neurons,29,DDX17,1.1553254127502441,2.1300668696880116e-175
Granule Neurons,30,CHRD,1.9110641479492188,2.5150819115194585e-168
Granule Neurons,31,STXBP1,0.8594721555709839,3.875783701829186e-163
Granule Neurons,32,DDX5,0.9664235711097717,2.58082673356851e-157
Granule Neurons,33,DNM1,0.9664399027824402,1.340519518695801e-153
Granule Neurons,34,ENO2,0.6839306354522705,1.7331039489072148e-153
Granule Neurons,35,MTCL1,1.2961812019348145,7.3331044345230866e-152
Granule Neurons,36,SHISA8,1.5538825988769531,2.893226801167479e-147
Granule Neurons,37,YPEL3,0.865717887878418,8.191815659257497e-147
Granule Neurons,38,CPLX2,0.9852982759475708,7.591107427796278e-143
Granule Neurons,39,GABRD,1.0030646324157715,3.7196741210744345e-140
Granule Neurons,40,MICAL2,1.3716882467269897,5.215750629473191e-140
Granule Neurons,41,FUS,1.142107367515564,1.5174118742535253e-139
Granule Neurons,42,RGS11,1.7531242370605469,1.5174118742535253e-139
Granule Neurons,43,COL6A1,1.7564562559127808,5.289996216877307e-139
Granule Neurons,44,SRRM3,1.5484038591384888,4.9165902562034713e-138
Granule Neurons,45,HNRNPA2B1,0.8432291150093079,6.171259790659377e-132
Granule Neurons,46,COL27A1,2.4073760509490967,1.7845741258387335e-131
Granule Neurons,47,SRRM2,1.4115169048309326,7.740251504752836e-128
Granule Neurons,48,HID1,1.4226495027542114,4.906834217495657e-127
Granule Neurons,49,MAPK8IP3,1.1663962602615356,8.562542305651171e-125
Granule Neurons,50,CHGB,0.6832349896430969,6.648457645694776e-123
Oligodendrocytes,1,ITM2B,0.6940155029296875,1.3958679004160146e-52
Oligodendrocytes,2,RPL17,0.6059204936027527,2.39251830422191e-51
Oligodendrocytes,3,MOBP,2.7114901542663574,1.3872300391973345e-15
Oligodendrocytes,4,MBP,2.069304943084717,3.83991555059463e-14
Oligodendrocytes,5,PLP1,1.7888644933700562,4.283375787199625e-10
Oligodendrocytes,6,MALAT1,0.8537971377372742,1.6820024219176708e-09
Oligodendrocytes,7,SNAP25,-0.37065964937210083,4.072758728419356e-09
Oligodendrocytes,8,BCAS1,2.3532190322875977,3.465622516682924e-08
Oligodendrocytes,9,ERMN,2.802741289138794,6.797180570307612e-07
Oligodendrocytes,10,FTH1,-0.7753744721412659,6.2194636044366955e-06
Oligodendrocytes,11,S100A1,2.5593101978302,2.613297449088161e-05
Oligodendrocytes,12,RPL4,-0.33842918276786804,4.1642384075538936e-05
Oligodendrocytes,13,TF,1.7906242609024048,6.643383173527854e-05
Oligodendrocytes,14,MAG,2.159156084060669,9.678709902089551e-05
Oligodendrocytes,15,PKD1,0.15344394743442535,0.00013135290043951985
Oligodendrocytes,16,GFAP,0.15497997403144836,0.00021501879225563648
Oligodendrocytes,17,CARNS1,1.9965795278549194,0.00034577658954542567
Oligodendrocytes,18,SPP1,1.76497220993042,0.0023066324081206435
Oligodendrocytes,19,PPP1R14A,1.5544273853302002,0.002393537137183702
Oligodendrocytes,20,MEG3,-0.1758074164390564,0.002876893841078824
Oligodendrocytes,21,EFHD1,2.178023338317871,0.004051415550325795
Oligodendrocytes,22,CNDP1,2.1211390495300293,0.004696104943029476
Oligodendrocytes,23,HSPA2,1.9828709363937378,0.007817430348830782
Oligodendrocytes,24,NKX6-2,2.085150718688965,0.009715034462375658
Oligodendrocytes,25,APLNR,2.6548004150390625,0.01032002417413629
Oligodendrocytes,26,OPALIN,2.164991617202759,0.015163677049199782
Oligodendrocytes,27,MOG,2.3665127754211426,0.015405724059720533
Oligodendrocytes,28,KLK6,2.5219531059265137,0.017210248814658415
Oligodendrocytes,29,LPAR1,2.6171722412109375,0.023103238229766274
Oligodendrocytes,30,CERCAM,1.4163180589675903,0.03372917478653389
Oligodendrocytes,31,EVI2A,2.1894192695617676,0.0447324855642271
