Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
218,15,15,2.6997144e-12,ENSG00000160087,UBE2J2
219,207,207,2.6993175e-12,ENSG00000090432,MUL1
220,329,329,2.6992818e-12,ENSG00000168528,SERINC2
221,410,410,2.6992664e-12,ENSG00000204084,INPP5B
222,31,31,2.6992252e-12,ENSG00000160072,ATAD3B
223,115,115,2.6991942e-12,ENSG00000178585,CTNNBIP1
224,333,333,2.699014e-12,ENSG00000121753,ADGRB2
225,102,102,2.6989624e-12,ENSG00000049246,PER3
226,371,371,2.6988802e-12,ENSG00000163867,ZMYM6
227,7,7,2.6988134e-12,ENSG00000188290,HES4
228,42,42,2.6987822e-12,ENSG00000008128,CDK11A
229,209,209,2.6984118e-12,ENSG00000158828,PINK1
230,400,400,2.6983498e-12,ENSG00000163875,MEAF6
231,101,101,2.6982316e-12,ENSG00000049245,VAMP3
232,409,409,2.6981442e-12,ENSG00000188786,MTF1
233,325,325,2.6979178e-12,ENSG00000084628,NKAIN1
234,34,34,2.6978766e-12,ENSG00000160075,SSU72
235,142,142,2.6978404e-12,ENSG00000177000,MTHFR
236,370,370,2.6977942e-12,ENSG00000243749,TMEM35B
237,274,274,2.6973775e-12,ENSG00000158062,UBXN11
238,346,346,2.6973723e-12,ENSG00000225828,FAM229A
239,284,284,2.6972643e-12,ENSG00000175707,KDF1
240,150,150,2.6971717e-12,ENSG00000162496,DHRS3
241,2,2,2.697156e-12,ENSG00000228794,LINC01128
242,23,23,2.6971253e-12,ENSG00000175756,AURKAIP1
243,154,154,2.6970327e-12,ENSG00000116731,PRDM2
244,316,316,2.6970021e-12,ENSG00000198492,YTHDF2
245,105,105,2.6969657e-12,ENSG00000162426,SLC45A1
246,176,176,2.6968733e-12,ENSG00000037637,FBXO42
247,485,485,2.6967703e-12,ENSG00000142959,BEST4
248,357,357,2.6967035e-12,ENSG00000121905,HPCA
249,488,488,2.6966933e-12,ENSG00000070785,EIF2B3
250,423,423,2.696575e-12,ENSG00000163909,HEYL
251,110,110,2.696575e-12,ENSG00000171621,SPSB1
