Biomarker_Name,Original_Index,Attention_Score
188,188,8.785946e-16
177,177,8.630616e-16
259,259,8.084674e-16
133,133,7.748662e-16
212,212,7.6947e-16
31,31,7.633974e-16
105,105,7.0043664e-16
482,482,6.7210693e-16
233,233,6.625937e-16
484,484,6.4056856e-16
321,321,5.9813105e-16
37,37,5.207904e-16
49,49,5.1030066e-16
170,170,4.90452e-16
326,326,4.3835048e-16
373,373,4.305531e-16
30,30,4.219195e-16
458,458,4.051961e-16
205,205,4.0408938e-16
242,242,4.0373037e-16
299,299,3.7364744e-16
167,167,3.6664554e-16
154,154,3.3680214e-16
225,225,3.0059857e-16
441,441,2.7093492e-16
322,322,2.2956523e-16
12,12,2.2229781e-16
129,129,2.1445883e-16
416,416,2.0739412e-16
106,106,2.0379049e-16
306,306,1.8909832e-16
356,356,1.7152109e-16
399,399,1.5646988e-16
183,183,1.5078419e-16
32,32,1.4012714e-16
204,204,1.368435e-16
446,446,1.2543964e-16
325,325,1.14286e-16
384,384,1.009737e-16
338,338,1.0037497e-16
18,18,9.868884e-17
184,184,9.141512e-17
443,443,8.368172e-17
481,481,7.812799e-17
158,158,6.58353e-17
396,396,5.6216405e-17
262,262,4.3458074e-17
330,330,4.177091e-17
390,390,4.1331062e-17
67,67,4.0869025e-17
164,164,3.9773633e-17
426,426,3.5859087e-17
395,395,3.466022e-17
335,335,2.6724358e-17
221,221,2.0299047e-17
56,56,1.7716695e-17
216,216,1.616271e-17
422,422,1.570924e-17
29,29,1.5577479e-17
65,65,1.27479625e-17
327,327,1.1621818e-17
240,240,1.0041475e-17
84,84,9.230302e-18
381,381,8.975165e-18
275,275,8.803585e-18
93,93,7.860057e-18
52,52,7.774561e-18
232,232,6.553609e-18
228,228,6.056544e-18
424,424,4.8068276e-18
385,385,3.9897307e-18
20,20,3.1850674e-18
464,464,2.9417196e-18
107,107,2.777334e-18
351,351,2.6944633e-18
198,198,2.6122806e-18
404,404,2.5664006e-18
371,371,2.53624e-18
142,142,1.935581e-18
147,147,1.7024717e-18
473,473,1.6970574e-18
352,352,1.6697977e-18
379,379,1.396233e-18
347,347,1.3024257e-18
239,239,1.192991e-18
