Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
449,449,6.465692e-14,ENSG00000127125,PPCS
39,39,6.4445147e-14,ENSG00000189409,MMP23B
301,301,6.34821e-14,ENSG00000130768,SMPDL3B
121,121,6.1388286e-14,ENSG00000284642,AL139424.2
36,36,6.0794035e-14,ENSG00000286989,AL691432.4
407,407,5.9546796e-14,ENSG00000196449,YRDC
406,406,5.531296e-14,ENSG00000185090,MANEAL
203,203,4.9510868e-14,ENSG00000127472,PLA2G5
220,220,4.8918555e-14,ENSG00000218510,LINC00339
195,195,4.3454908e-14,ENSG00000053372,MRTO4
470,470,3.95934e-14,ENSG00000117407,ARTN
66,66,3.861931e-14,ENSG00000157870,PRXL2B
63,63,3.8393544e-14,ENSG00000197921,HES5
437,437,3.606423e-14,ENSG00000164002,EXO5
499,499,2.827293e-14,ENSG00000117448,AKR1A1
178,178,2.792622e-14,ENSG00000157191,NECAP2
430,430,2.5677524e-14,ENSG00000131238,PPT1
457,457,2.4435906e-14,ENSG00000164010,ERMAP
136,136,2.3855875e-14,ENSG00000204624,DISP3
279,279,2.3457864e-14,ENSG00000060642,PIGV
161,161,2.2330135e-14,ENSG00000197312,DDI2
414,414,2.2011464e-14,ENSG00000185668,POU3F1
229,229,1.952158e-14,ENSG00000169641,LUZP1
46,46,1.8812182e-14,ENSG00000231050,AL109917.1
130,130,1.7807482e-14,ENSG00000116649,SRM
350,350,1.717252e-14,ENSG00000176261,ZBTB8OS
219,219,1.576804e-14,ENSG00000142798,HSPG2
474,474,1.5519141e-14,ENSG00000117410,ATP6V0B
90,90,1.5385598e-14,ENSG00000171680,PLEKHG5
77,77,1.521871e-14,ENSG00000198912,C1orf174
324,324,1.4965488e-14,ENSG00000134644,PUM1
245,245,1.4441803e-14,ENSG00000189266,PNRC2
455,455,1.31743405e-14,ENSG00000164008,C1orf50
447,447,1.2603383e-14,ENSG00000177181,RIMKLA
76,76,1.2594635e-14,ENSG00000169598,DFFB
284,284,1.2513677e-14,ENSG00000175707,KDF1
427,427,1.243018e-14,ENSG00000043514,TRIT1
43,43,1.2405807e-14,ENSG00000215790,SLC35E2A
191,191,1.2398474e-14,ENSG00000272084,AL137127.1
292,292,1.23596346e-14,ENSG00000158195,WASF2
344,344,1.23203754e-14,ENSG00000116478,HDAC1
450,450,1.2308866e-14,ENSG00000186409,CCDC30
298,298,1.2301825e-14,ENSG00000117751,PPP1R8
132,132,1.2299104e-14,ENSG00000230337,EXOSC10-AS1
493,493,1.2295984e-14,ENSG00000132781,MUTYH
0,0,1.2295256e-14,ENSG00000241860,AL627309.5
400,400,1.2289184e-14,ENSG00000163875,MEAF6
310,310,1.2286864e-14,ENSG00000180198,RCC1
54,54,1.2285856e-14,ENSG00000157933,SKI
454,454,1.2284473e-14,ENSG00000117385,P3H1
336,336,1.2283373e-14,ENSG00000121775,TMEM39B
58,58,1.22832085e-14,ENSG00000272420,AL513477.2
265,265,1.2283161e-14,ENSG00000117632,STMN1
62,62,1.2282341e-14,ENSG00000157881,PANK4
117,117,1.2279812e-14,ENSG00000173614,NMNAT1
421,421,1.22795315e-14,ENSG00000183682,BMP8A
230,230,1.22793435e-14,ENSG00000261326,LINC01355
268,268,1.227932e-14,ENSG00000175087,PDIK1L
172,172,1.2278782e-14,ENSG00000184908,CLCNKB
199,199,1.2274005e-14,ENSG00000077549,CAPZB
249,249,1.2273794e-14,ENSG00000001460,STPG1
411,411,1.2273279e-14,ENSG00000183431,SF3A3
244,244,1.2273139e-14,ENSG00000179163,FUCA1
231,231,1.2272693e-14,ENSG00000125944,HNRNPR
295,295,1.2272459e-14,ENSG00000126709,IFI6
22,22,1.2271476e-14,ENSG00000162576,MXRA8
328,328,1.22709375e-14,ENSG00000121769,FABP3
234,234,1.2270868e-14,ENSG00000204219,TCEA3
436,436,1.2270704e-14,ENSG00000187815,ZFP69
323,323,1.226951e-14,ENSG00000162512,SDC3
465,465,1.2269417e-14,ENSG00000198198,SZT2
305,305,1.22682465e-14,ENSG00000130770,ATP5IF1
114,114,1.2267872e-14,ENSG00000171603,CLSTN1
4,4,1.2267123e-14,ENSG00000187634,SAMD11
196,196,1.2266609e-14,ENSG00000162482,AKR7A3
471,471,1.2266071e-14,ENSG00000237950,AL357079.1
358,358,1.2266e-14,ENSG00000121900,TMEM54
24,24,1.2265603e-14,ENSG00000221978,CCNL2
11,11,1.22654386e-14,ENSG00000186891,TNFRSF18
175,175,1.2265345e-14,ENSG00000288398,AL109627.1
297,297,1.2264597e-14,ENSG00000117758,STX12
122,122,1.226441e-14,ENSG00000142657,PGD
1,1,1.2262656e-14,ENSG00000237491,LINC01409
28,28,1.2260878e-14,ENSG00000235098,ANKRD65
269,269,1.2260808e-14,ENSG00000197245,FAM110D
278,278,1.22603394e-14,ENSG00000117713,ARID1A
111,111,1.22598016e-14,ENSG00000171612,SLC25A33
236,236,1.2259032e-14,ENSG00000117318,ID3
64,64,1.225875e-14,ENSG00000272449,AL139246.5
98,98,1.2258517e-14,ENSG00000171735,CAMTA1
413,413,1.2258025e-14,ENSG00000183520,UTP11
70,70,1.2257441e-14,ENSG00000158109,TPRG1L
438,438,1.2257324e-14,ENSG00000117010,ZNF684
145,145,1.2256787e-14,ENSG00000083444,PLOD1
180,180,1.2256599e-14,ENSG00000219481,NBPF1
82,82,1.2256179e-14,ENSG00000116251,RPL22
137,137,1.22556875e-14,ENSG00000116661,FBXO2
435,435,1.2255033e-14,ENSG00000084070,SMAP2
252,252,1.22549625e-14,ENSG00000133226,SRRM1
160,160,1.2254869e-14,ENSG00000116138,DNAJC16
186,186,1.22548e-14,ENSG00000179051,RCC2
479,479,1.22543314e-14,ENSG00000178028,DMAP1
334,334,1.2254238e-14,ENSG00000184007,PTP4A2
194,194,1.22531405e-14,ENSG00000127463,EMC1
124,124,1.225148e-14,ENSG00000241563,CORT
495,495,1.2250873e-14,ENSG00000070759,TESK2
202,202,1.22507095e-14,ENSG00000169914,OTUD3
363,363,1.2250218e-14,ENSG00000160094,ZNF362
428,428,1.2249985e-14,ENSG00000168389,MFSD2A
331,331,1.22497515e-14,ENSG00000162517,PEF1
403,403,1.2249377e-14,ENSG00000134697,GNL2
131,131,1.2247018e-14,ENSG00000171824,EXOSC10
179,179,1.2246995e-14,ENSG00000261135,AL137802.2
157,157,1.22464345e-14,ENSG00000171729,TMEM51
392,392,1.2246294e-14,ENSG00000196182,STK40
281,281,1.2246224e-14,ENSG00000142751,GPN2
89,89,1.2246085e-14,ENSG00000215788,TNFRSF25
410,410,1.2245851e-14,ENSG00000204084,INPP5B
2,2,1.2245687e-14,ENSG00000228794,LINC01128
418,418,1.2245664e-14,ENSG00000174574,AKIRIN1
103,103,1.2245314e-14,ENSG00000116288,PARK7
17,17,1.22443085e-14,ENSG00000131584,ACAP3
146,146,1.2244285e-14,ENSG00000116688,MFN2
25,25,1.2243725e-14,ENSG00000224870,MRPL20-AS1
277,277,1.2243188e-14,ENSG00000117676,RPS6KA1
316,316,1.2243095e-14,ENSG00000198492,YTHDF2
362,362,1.2242884e-14,ENSG00000116525,TRIM62
433,433,1.224202e-14,ENSG00000084073,ZMPSTE24
472,472,1.2240994e-14,ENSG00000117408,IPO13
283,283,1.22405265e-14,ENSG00000090273,NUDC
110,110,1.2240363e-14,ENSG00000171621,SPSB1
53,53,1.224027e-14,ENSG00000162585,FAAP20
445,445,1.2239383e-14,ENSG00000127124,HIVEP3
150,150,1.2237048e-14,ENSG00000162496,DHRS3
112,112,1.2236909e-14,ENSG00000188807,TMEM201
380,380,1.2236721e-14,ENSG00000142686,C1orf216
149,149,1.2235344e-14,ENSG00000048707,VPS13D
453,453,1.2234807e-14,ENSG00000065978,YBX1
9,9,1.2234294e-14,ENSG00000188157,AGRN
138,138,1.22331285e-14,ENSG00000132879,FBXO44
208,208,1.2232427e-14,ENSG00000183114,FAM43B
391,391,1.2231775e-14,ENSG00000286379,AL591845.1
174,174,1.2229209e-14,ENSG00000142627,EPHA2
151,151,1.2226712e-14,ENSG00000162494,LRRC38
289,289,1.222564e-14,ENSG00000142765,SYTL1
452,452,1.2225523e-14,ENSG00000234917,AC098484.2
227,227,1.222487e-14,ENSG00000133216,EPHB2
